Class,convnext_tiny_F1,efficientnet_b0_F1,hybrid_cnn_transformer_F1,lightweight_cnn_F1,mobilenetv3_F1,resnet18_F1,vit_F1,Best Model
0,99.17355371900827,99.17355371900827,26.737967914438503,98.36065573770492,76.92307692307693,98.36065573770492,64.95726495726495,convnext_tiny
1,99.7920997920998,99.58448753462605,66.66666666666666,99.23558026407228,95.14426460239268,99.65397923875432,90.75018208302986,convnext_tiny
2,99.73368841544608,99.27007299270073,59.671663097787295,99.53426480372588,91.78255372945638,99.86666666666667,92.65175718849841,resnet18
3,99.21962095875139,96.14112458654907,47.083333333333336,95.4954954954955,92.29098805646036,99.32885906040269,90.6064209274673,resnet18
4,99.52606635071089,100.0,88.73239436619718,100.0,99.04306220095694,100.0,99.7624703087886,efficientnet_b0
5,100.0,100.0,67.96116504854369,100.0,98.34710743801654,100.0,91.73553719008265,convnext_tiny
6,99.48979591836735,99.74424552429667,81.38888888888889,99.74358974358975,98.45758354755783,99.74358974358975,98.4375,efficientnet_b0
7,99.5850622406639,99.5850622406639,84.75836431226766,99.17355371900827,99.17355371900827,100.0,95.51020408163265,resnet18
8,99.15966386554622,100.0,73.07692307692307,98.33333333333333,99.17355371900827,99.17355371900827,98.36065573770492,efficientnet_b0
9,99.70930232558139,99.92748368382887,89.67100229533283,99.85507246376811,99.20232052211747,99.41690962099126,99.41690962099126,efficientnet_b0
10,100.0,100.0,71.50259067357513,99.4475138121547,99.4475138121547,100.0,97.14285714285714,convnext_tiny
11,99.54476479514416,98.8558352402746,59.79049153908138,99.16603487490522,94.74497681607419,99.08952959028832,93.7791601866252,convnext_tiny
12,95.40229885057471,96.7032967032967,57.14285714285714,97.75280898876404,95.45454545454545,95.18716577540107,87.0,lightweight_cnn
13,99.44488501189532,95.80093312597201,57.507507507507505,95.9073359073359,87.1499176276771,98.59154929577466,90.53747161241483,convnext_tiny
14,99.32885906040269,83.26848249027238,64.25339366515837,88.47583643122677,84.16988416988417,93.23843416370107,89.37728937728939,convnext_tiny
15,99.44629014396456,99.10514541387025,62.07759699624531,99.22135706340379,94.28238039673279,99.44382647385984,93.72937293729373,convnext_tiny
16,99.88901220865705,98.78987898789879,45.28688524590164,99.4475138121547,89.97955010224949,99.66777408637874,89.05263157894737,convnext_tiny
