Model,Class,Sign,Precision (%),Recall (%),F1 (%),AUC-ROC
ConvNeXt-Tiny,0,Speed limit (20km/h),96.77,100.0,98.36,1.0
ConvNeXt-Tiny,1,Speed limit (30km/h),99.45,100.0,99.72,0.9999
ConvNeXt-Tiny,10,No passing (>3.5t),100.0,99.85,99.92,1.0
ConvNeXt-Tiny,11,Right-of-way at intersection,100.0,99.05,99.52,1.0
ConvNeXt-Tiny,12,Priority road,99.71,99.86,99.78,1.0
ConvNeXt-Tiny,13,Yield,99.72,99.72,99.72,1.0
ConvNeXt-Tiny,14,Stop,99.63,100.0,99.82,1.0
ConvNeXt-Tiny,15,No vehicles,100.0,99.52,99.76,1.0
ConvNeXt-Tiny,16,Vehicles >3.5t prohibited,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,17,No entry,100.0,99.72,99.86,1.0
ConvNeXt-Tiny,18,General caution,100.0,95.38,97.64,0.9999
ConvNeXt-Tiny,19,Dangerous curve left,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,2,Speed limit (50km/h),99.87,99.87,99.87,0.9999
ConvNeXt-Tiny,20,Dangerous curve right,91.84,100.0,95.74,0.9999
ConvNeXt-Tiny,21,Double curve,88.24,100.0,93.75,1.0
ConvNeXt-Tiny,22,Bumpy road,100.0,91.67,95.65,1.0
ConvNeXt-Tiny,23,Slippery road,100.0,98.67,99.33,1.0
ConvNeXt-Tiny,24,Road narrows on right,96.77,100.0,98.36,1.0
ConvNeXt-Tiny,25,Road work,97.96,100.0,98.97,1.0
ConvNeXt-Tiny,26,Traffic signals,99.45,100.0,99.72,1.0
ConvNeXt-Tiny,27,Pedestrians,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,28,Children crossing,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,29,Bicycles crossing,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,3,Speed limit (60km/h),100.0,98.0,98.99,1.0
ConvNeXt-Tiny,30,Beware of ice/snow,94.81,97.33,96.05,0.9999
ConvNeXt-Tiny,31,Wild animals crossing,99.63,100.0,99.82,1.0
ConvNeXt-Tiny,32,End speed + passing limits,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,33,Turn right ahead,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,34,Turn left ahead,97.56,100.0,98.77,1.0
ConvNeXt-Tiny,35,Ahead only,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,36,Go straight or right,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,37,Go straight or left,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,38,Keep right,99.86,100.0,99.93,1.0
ConvNeXt-Tiny,39,Keep left,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,4,Speed limit (70km/h),100.0,98.94,99.47,1.0
ConvNeXt-Tiny,40,Roundabout mandatory,100.0,94.44,97.14,0.9999
ConvNeXt-Tiny,41,End of no passing,100.0,100.0,100.0,1.0
ConvNeXt-Tiny,42,End no passing (>3.5t),97.83,100.0,98.9,1.0
ConvNeXt-Tiny,5,Speed limit (80km/h),98.43,99.68,99.05,1.0
ConvNeXt-Tiny,6,End of 80km/h limit,100.0,97.33,98.65,1.0
ConvNeXt-Tiny,7,Speed limit (100km/h),100.0,99.56,99.78,1.0
ConvNeXt-Tiny,8,Speed limit (120km/h),99.56,100.0,99.78,1.0
ConvNeXt-Tiny,9,No passing,99.79,100.0,99.9,1.0
Enhanced ResNet18,0,Speed limit (20km/h),96.77,100.0,98.36,1.0
Enhanced ResNet18,1,Speed limit (30km/h),99.31,100.0,99.65,0.9999
Enhanced ResNet18,10,No passing (>3.5t),99.85,100.0,99.92,1.0
Enhanced ResNet18,11,Right-of-way at intersection,99.51,96.67,98.07,0.9999
Enhanced ResNet18,12,Priority road,100.0,99.57,99.78,1.0
